Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
16-Aug-2019,76.55,79,81.45,76.85,78.5,79.45,79.28,143478784,11374310743.7,447994,14769187,10.29
19-Aug-2019,79.45,79.45,80.75,76,76.8,76.65,77.98,127652182,9954116291.05,383538,11806763,9.25
20-Aug-2019,76.65,76.95,76.95,70.5,71.55,71.2,72.28,167966737,12140559139.1,480588,26774559,15.94
21-Aug-2019,71.2,71.2,71.5,64.55,65.05,65.4,67.7,228212985,15449793793.6,592928,40811119,17.88
22-Aug-2019,65.4,66.4,67.7,53.2,57.45,56.3,59.83,314692568,18828302482.25,759126,49703748,15.79
23-Aug-2019,56.3,56.4,61.25,54.75,59.45,59.25,58.89,309367850,18219656397.95,742741,25129814,8.12
26-Aug-2019,59.25,62.95,64.7,57.35,62.25,62.9,61.12,277799302,16978190443.6,632346,37920384,13.65
27-Aug-2019,62.9,62.9,65.35,62.5,64.95,64.5,64.02,190996863,12227084632.65,454909,26032687,13.63
28-Aug-2019,64.5,64.5,65.15,58.05,59.9,59.5,61.07,223167624,13629226542.35,550714,24802738,11.11
29-Aug-2019,59.5,59.25,59.3,55,57.5,57.4,56.71,188754023,10704090446.1,470010,25328173,13.42
30-Aug-2019,57.4,58.25,60.95,55.5,60.4,59.95,57.86,226395035,13100090625.85,516012,22648516,10
03-Sep-2019,59.95,59.25,62.3,57.65,58.6,58.75,59.62,196326964,11705756406.2,451396,20248456,10.31
04-Sep-2019,58.75,58.35,60.3,57.25,59.1,59.45,58.69,143742201,8436776073.5,326434,6996421,4.87
05-Sep-2019,59.45,59.7,62.35,58.85,61.8,61.95,60.72,177919556,10803485421.7,372116,18777256,10.55
06-Sep-2019,61.95,61.3,62.15,59.6,60.75,60.4,60.89,130716447,7959862803.35,304732,8027971,6.14
09-Sep-2019,60.4,60.1,64.1,59.85,63,63.1,62.04,150897861,9362062948.8,334761,12437115,8.24
11-Sep-2019,63.1,66,75.45,65,71.3,71.6,69.9,332938591,23273575772.05,762268,26574361,7.98
12-Sep-2019,71.6,71.8,72.2,67.15,68.25,67.95,69.07,221839869,15321992880.5,485189,17829177,8.04
13-Sep-2019,67.95,67,69.5,64.1,67.8,68.55,66.6,278285524,18534764806.8,584011,12759833,4.59
16-Sep-2019,68.55,67.6,68.2,65.95,67.1,67.05,67.25,128189225,8620958082.65,343928,10303951,8.04
17-Sep-2019,67.05,67.1,68.8,64.65,65.3,65.1,67.07,150932029,10123335883.3,381998,13039154,8.64
18-Sep-2019,65.1,66,66.45,61.7,64.45,64.1,64.49,186937027,12054946484.85,424930,11648735,6.23
19-Sep-2019,64.1,64.7,64.8,53,54,54.1,57.87,321270950,18593093070.05,782427,70238226,21.86
20-Sep-2019,54.1,53.7,59.9,52.7,56.1,55.5,56.66,398347296,22570805918,890174,35399380,8.89
23-Sep-2019,55.5,57,57.5,52.9,55.2,55.45,55.16,221169297,12199259386.3,509487,21817271,9.86
24-Sep-2019,55.45,54.9,57.65,53.55,56,56.05,55.65,171828060,9562790208.9,447755,11673729,6.79
25-Sep-2019,56.05,55.9,56.85,53.1,53.25,53.7,55.08,152430784,8396622932.85,401291,20078939,13.17
26-Sep-2019,53.7,53.9,54.25,50.55,51.2,51.05,52,249670424,12983112614.1,555056,57455356,23.01
27-Sep-2019,51.05,50,52.9,48.4,48.5,48.75,50.22,306867611,15411325340.7,662091,28335565,9.23
30-Sep-2019,48.75,48.25,49.1,40.95,41.75,41.4,43.37,356666325,15467304144.45,724079,55009377,15.42
01-Oct-2019,41.4,42,44.3,29,32.2,32,36.1,808959169,29206424822.95,1336273,144459392,17.86
03-Oct-2019,32,35.2,43.45,35.2,42.75,42.5,39.86,584506441,23296790512.55,1029273,73982680,12.66
